Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9884,0.9836,0.9923,0.9879
Linear SVM,0.9954,0.9946,0.9958,0.9952
Naive Bayes,0.9477,0.9458,0.9444,0.9451
